Unnamed: 0_level_0 Rk,Team,Unnamed: 2_level_0 Age,Unnamed: 3_level_0 W,Unnamed: 4_level_0 L,Unnamed: 5_level_0 PW,Unnamed: 6_level_0 PL,Unnamed: 7_level_0 MOV,Unnamed: 8_level_0 SOS,Unnamed: 9_level_0 SRS,Unnamed: 10_level_0 ORtg,Unnamed: 11_level_0 DRtg,Unnamed: 12_level_0 NRtg,Unnamed: 13_level_0 Pace,Unnamed: 14_level_0 FTr,Unnamed: 15_level_0 3PAr,Unnamed: 16_level_0 TS%,Unnamed: 17_level_0 Unnamed: 17_level_1,Offense Four Factors eFG%,Offense Four Factors TOV%,Offense Four Factors ORB%,Offense Four Factors FT/FGA,Unnamed: 22_level_0 Unnamed: 22_level_1,Defense Four Factors eFG%,Defense Four Factors TOV%,Defense Four Factors DRB%,Defense Four Factors FT/FGA,Unnamed: 27_level_0 Unnamed: 27_level_1,Unnamed: 28_level_0 Arena,Unnamed: 29_level_0 Attend.,Unnamed: 30_level_0 Attend./G,Season
29,Milwaukee Bucks,24.7,15,67,20,62,-8.18,-0.23,-8.41,103.0,111.8,-8.8,91.8,.274,.231,.519,,.479,14.1,27.1,.204,,.520,13.2,71.4,.225,,BMO Harris Bradley Center,552067,13465,2013-14
30,Philadelphia 76ers,23.4,19,63,16,66,-10.45,-0.21,-10.66,99.4,109.9,-10.5,99.2,.268,.258,.510,,.475,14.8,24.8,.190,,.524,14.9,72.4,.244,,Wells Fargo Center,568632,13869,2013-14
1,Golden State Warriors*,26.6,67,15,65,17,10.10,-0.09,10.01,111.6,101.4,+10.2,98.3,.239,.311,.571,,.540,13.1,24.1,.184,,.470,14.3,74.5,.217,,Oracle Arena,803436,19596,2014-15
2,Los Angeles Clippers*,28.8,56,26,58,24,6.59,0.22,6.80,112.4,105.5,+6.9,94.7,.303,.322,.565,,.533,11.6,22.8,.215,,.493,13.2,75.7,.231,,STAPLES Center,785892,19168,2014-15
3,San Antonio Spurs*,29.8,55,27,58,24,6.20,0.14,6.34,108.5,102.0,+6.5,93.8,.256,.269,.555,,.517,13.1,23.4,.200,,.484,13.3,77.3,.190,,AT&T Center,762855,18606,2014-15
4,Atlanta Hawks*,27.8,60,22,56,26,5.43,-0.68,4.75,108.9,103.1,+5.8,93.9,.259,.321,.563,,.527,13.5,21.4,.201,,.492,14.9,73.4,.185,,Philips Arena,713909,17412,2014-15
5,Cleveland Cavaliers*,26.9,53,29,53,29,4.48,-0.40,4.08,111.1,106.3,+4.8,92.3,.287,.334,.557,,.520,13.4,26.8,.216,,.502,12.6,74.7,.177,,Quicken Loans Arena,843042,20562,2014-15
6,Portland Trail Blazers*,27.0,51,31,53,29,4.23,0.18,4.41,108.2,103.7,+4.5,94.2,.225,.316,.544,,.508,12.6,24.2,.180,,.476,11.3,76.2,.182,,Moda Center,798368,19472,2014-15
7,Houston Rockets*,27.6,56,26,50,32,3.44,0.38,3.82,107.0,103.4,+3.6,96.5,.312,.392,.548,,.512,15.0,26.8,.223,,.486,14.6,72.9,.208,,Toyota Center,747412,18230,2014-15
8,Memphis Grizzlies*,29.6,55,27,50,32,3.24,0.38,3.62,105.7,102.2,+3.5,92.0,.276,.184,.531,,.489,12.6,24.7,.214,,.492,14.5,75.3,.183,,FedEx Forum,710502,17329,2014-15
9,Toronto Raptors*,26.1,49,33,49,33,3.07,-0.62,2.45,111.0,107.7,+3.3,92.8,.295,.302,.553,,.508,12.0,25.6,.232,,.506,13.4,73.3,.208,,Air Canada Centre,809824,19752,2014-15
10,Chicago Bulls*,28.8,50,32,50,32,3.00,-0.46,2.54,107.5,104.3,+3.2,92.8,.304,.269,.536,,.489,12.9,27.0,.238,,.473,11.3,74.4,.182,,United Center,886612,21625,2014-15
,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,,2014-15
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,2014-15
11,Dallas Mavericks*,29.9,50,32,49,33,2.90,0.46,3.36,109.5,106.4,+3.1,95.2,.262,.296,.550,,.515,11.9,23.6,.197,,.503,14.7,72.2,.204,,American Airlines Center,827702,20188,2014-15
12,Oklahoma City Thunder,25.4,45,37,47,35,2.18,0.28,2.47,107.8,105.5,+2.3,95.7,.284,.262,.532,,.492,13.1,28.9,.214,,.489,12.4,75.6,.213,,Chesapeake Energy Arena,746323,18203,2014-15
13,New Orleans Pelicans*,25.3,45,37,43,39,0.79,0.34,1.13,108.2,107.3,+0.9,91.4,.263,.233,.537,,.501,12.5,27.1,.198,,.496,11.7,75.1,.195,,Smoothie King Center,683757,16677,2014-15
14,Washington Wizards*,28.6,46,36,43,39,0.72,-0.55,0.17,103.7,103.0,+0.7,93.7,.259,.203,.534,,.499,14.0,24.9,.192,,.481,12.9,77.3,.210,,Verizon Center,747796,18239,2014-15
15,Milwaukee Bucks*,24.6,41,41,42,40,0.43,-0.52,-0.09,102.7,102.2,+0.5,94.1,.258,.223,.536,,.499,15.5,25.4,.195,,.487,15.9,73.3,.221,,BMO Harris Bradley Center,593910,14813,2014-15
16,Indiana Pacers,28.3,38,44,42,40,0.28,-0.51,-0.23,103.5,103.2,+0.3,93.2,.266,.255,.523,,.484,13.1,24.0,.201,,.478,12.0,77.9,.217,,Bankers Life Fieldhouse,691434,16864,2014-15
17,Utah Jazz,23.4,38,44,42,40,0.22,0.49,0.71,105.1,104.9,+0.2,90.4,.297,.274,.531,,.494,14.6,29.1,.214,,.491,12.8,76.3,.199,,EnergySolutions Arena,772059,18831,2014-15
18,Boston Celtics*,25.0,40,42,41,41,0.16,-0.56,-0.40,104.7,104.5,+0.2,95.8,.233,.280,.523,,.489,12.5,24.7,.176,,.494,13.7,75.0,.208,,TD Garden,721350,17594,2014-15
19,Phoenix Suns,25.7,39,43,38,44,-0.90,0.52,-0.38,105.3,106.2,-0.9,96.3,.251,.291,.537,,.501,13.7,24.5,.191,,.497,14.0,73.5,.221,,US Airways Center,693862,16923,2014-15
20,Detroit Pistons,25.9,32,50,38,44,-1.00,-0.39,-1.39,105.3,106.4,-1.1,92.8,.261,.290,.515,,.482,12.3,27.7,.184,,.502,13.2,75.0,.192,,The Palace of Auburn Hills,625917,15266,2014-15
,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,,2014-15
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,2014-15
21,Miami Heat,28.5,37,45,33,49,-2.60,-0.32,-2.92,103.9,106.7,-2.8,90.9,.306,.262,.540,,.500,14.5,23.2,.227,,.505,14.2,73.4,.213,,AmericanAirlines Arena,808223,19713,2014-15
22,Brooklyn Nets*,28.6,38,44,33,49,-2.88,-0.25,-3.13,104.4,107.4,-3.0,92.7,.267,.240,.529,,.491,13.0,23.9,.200,,.506,12.9,73.7,.185,,Barclays Center,698529,17037,2014-15
23,Charlotte Hornets,26.0,33,49,32,50,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93.0,.269,.226,.498,,.456,11.2,22.1,.202,,.487,12.0,79.3,.188,,Time Warner Cable Arena,704886,17192,2014-15
24,Denver Nuggets,26.4,30,52,31,51,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,.278,.284,.518,,.479,12.7,26.6,.204,,.504,13.0,74.7,.239,,Pepsi Center,602707,14700,2014-15
25,Sacramento Kings,26.0,29,53,31,51,-3.71,0.64,-3.07,105.3,109.2,-3.9,95.4,.363,.204,.542,,.490,14.8,26.5,.276,,.507,11.8,75.2,.200,,Sleep Train Arena,680049,16587,2014-15
26,Orlando Magic,24.3,25,57,25,57,-5.72,-0.15,-5.87,101.6,107.7,-6.1,93.8,.230,.235,.524,,.494,14.0,23.1,.168,,.514,13.6,76.0,.210,,Amway Center,688194,16785,2014-15
27,Los Angeles Lakers,27.0,21,61,23,59,-6.84,0.67,-6.17,103.4,110.6,-7.2,94.0,.276,.220,.513,,.473,12.1,25.4,.204,,.518,12.1,76.3,.231,,STAPLES Center,768244,18738,2014-15
28,Minnesota Timberwolves,24.4,16,66,19,63,-8.79,0.79,-8.00,102.9,112.2,-9.3,94.4,.309,.179,.517,,.468,13.7,26.6,.240,,.537,13.9,71.6,.187,,Target Center,595652,14416,2014-15
29,Philadelphia 76ers,23.2,18,64,18,64,-8.98,-0.07,-9.04,95.5,104.8,-9.3,95.7,.288,.319,.494,,.459,16.0,25.5,.195,,.497,15.2,73.0,.225,,Wells Fargo Center,571572,13941,2014-15
30,New York Knicks,26.9,17,65,17,65,-9.32,-0.18,-9.50,99.9,110.0,-10.1,91.2,.234,.240,.508,,.470,14.0,24.5,.180,,.512,13.3,73.1,.234,,Madison Square Garden (IV),812292,19812,2014-15
1,San Antonio Spurs*,30.3,67,15,67,15,10.63,-0.36,10.28,110.3,99.0,+11.3,93.8,.246,.223,.564,,.526,12.4,23.0,.197,,.477,14.1,79.1,.182,,AT&T Center,756445,18450,2015-16
2,Golden State Warriors*,27.4,73,9,65,17,10.76,-0.38,10.38,114.5,103.8,+10.7,99.3,.250,.362,.593,,.563,13.5,23.5,.191,,.479,12.6,76.0,.208,,Oracle Arena,803436,19596,2015-16
3,Oklahoma City Thunder*,25.8,55,27,59,23,7.28,-0.19,7.09,113.1,105.6,+7.5,96.7,.292,.275,.565,,.524,14.0,31.1,.228,,.484,11.7,76.0,.205,,Chesapeake Energy Arena,746323,18203,2015-16
4,Cleveland Cavaliers*,28.1,57,25,57,25,6.00,-0.55,5.45,110.9,104.5,+6.4,93.3,.259,.352,.558,,.524,12.7,25.1,.194,,.496,12.6,78.5,.205,,Quicken Loans Arena,843042,20562,2015-16
5,Toronto Raptors*,26.3,56,26,53,29,4.50,-0.42,4.08,110.0,105.2,+4.8,92.9,.328,.287,.552,,.504,12.3,24.6,.255,,.498,12.7,77.7,.201,,Air Canada Centre,812863,19826,2015-16
6,Los Angeles Clippers*,29.7,53,29,53,29,4.28,-0.15,4.13,108.3,103.8,+4.5,95.8,.318,.324,.556,,.524,12.1,20.1,.220,,.480,13.8,73.8,.222,,STAPLES Center,786910,19193,2015-16
7,Atlanta Hawks*,28.2,48,34,51,31,3.61,-0.12,3.49,105.1,101.4,+3.7,97.1,.237,.336,.552,,.516,13.8,19.1,.185,,.480,14.4,74.6,.194,,Philips Arena,690150,16833,2015-16
8,Boston Celtics*,25.2,48,34,50,32,3.21,-0.37,2.84,106.8,103.6,+3.2,98.5,.264,.293,.531,,.488,12.1,25.1,.208,,.487,14.6,74.6,.231,,TD Garden,749076,18270,2015-16
9,Charlotte Hornets*,26.0,48,34,49,33,2.72,-0.36,2.36,107.2,104.3,+2.9,95.6,.280,.348,.545,,.502,11.7,20.0,.222,,.496,12.5,79.8,.191,,Time Warner Cable Arena,716894,17485,2015-16
10,Utah Jazz,24.2,40,42,46,36,1.79,0.05,1.84,105.9,103.9,+2.0,91.0,.286,.297,.540,,.501,14.2,25.9,.213,,.495,13.5,77.7,.210,,Vivint Smart Home Arena,791489,19305,2015-16
,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,,2015-16
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,2015-16
11,Miami Heat*,28.4,48,34,46,36,1.65,-0.14,1.50,106.1,104.4,+1.7,93.6,.282,.221,.545,,.508,13.3,23.8,.210,,.485,12.1,77.8,.196,,AmericanAirlines Arena,809350,19740,2015-16
12,Indiana Pacers*,26.9,45,37,46,36,1.71,-0.09,1.62,104.6,102.9,+1.7,96.6,.268,.270,.536,,.497,13.5,23.4,.205,,.489,14.3,76.0,.205,,Bankers Life Fieldhouse,690733,16847,2015-16
13,Portland Trail Blazers*,24.3,44,38,43,39,0.83,0.15,0.98,108.8,108.0,+0.8,96.0,.268,.332,.548,,.511,13.2,25.9,.202,,.503,12.1,76.2,.225,,Moda Center,794085,19368,2015-16
14,Detroit Pistons*,25.0,44,38,43,39,0.61,-0.18,0.43,106.1,105.5,+0.6,95.1,.296,.303,.522,,.491,12.2,27.0,.197,,.504,12.5,79.3,.196,,The Palace of Auburn Hills,677138,16516,2015-16
15,Houston Rockets*,27.8,41,41,42,40,0.20,0.14,0.34,108.3,108.1,+0.2,97.6,.352,.370,.553,,.516,14.2,25.7,.244,,.516,14.8,72.8,.219,,Toyota Center,737244,17982,2015-16
16,Dallas Mavericks*,30.3,42,40,40,42,-0.30,0.29,-0.02,106.7,107.0,-0.3,94.3,.265,.339,.544,,.502,12.0,20.6,.211,,.504,12.8,76.2,.198,,American Airlines Center,825901,20144,2015-16
17,Washington Wizards,27.3,41,41,40,42,-0.50,0.00,-0.50,105.3,105.8,-0.5,98.5,.263,.282,.544,,.511,13.1,20.6,.192,,.515,14.6,77.7,.218,,Verizon Center,725426,17693,2015-16
18,Chicago Bulls,27.6,42,40,37,45,-1.48,0.01,-1.46,105.0,106.5,-1.5,95.7,.240,.244,.526,,.487,12.6,24.5,.189,,.485,10.7,74.9,.182,,United Center,894659,21821,2015-16
19,Orlando Magic,23.9,35,47,36,46,-1.62,-0.06,-1.68,105.1,106.8,-1.7,96.0,.232,.255,.533,,.500,12.8,23.1,.175,,.513,13.8,76.5,.215,,Amway Center,719275,17515,2015-16
20,Sacramento Kings,26.6,33,49,34,48,-2.48,0.16,-2.32,106.0,108.4,-2.4,100.0,.295,.260,.546,,.510,14.2,23.9,.214,,.521,14.0,74.9,.202,,Sleep Train Arena,707526,17222,2015-16
,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,,2015-16
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,2015-16
21,Memphis Grizzlies*,30.5,42,40,35,47,-2.24,0.11,-2.14,105.4,107.8,-2.4,93.3,.295,.222,.524,,.477,12.3,25.3,.231,,.518,15.2,75.1,.251,,FedEx Forum,701894,17119,2015-16
22,New York Knicks,27.2,32,50,33,49,-2.73,0.00,-2.74,104.6,107.6,-3.0,93.4,.255,.256,.527,,.483,12.6,23.7,.205,,.487,10.5,75.8,.204,,Madison Square Garden (IV),812292,19812,2015-16
23,Denver Nuggets,24.7,33,49,33,49,-3.10,0.29,-2.81,105.6,108.9,-3.3,95.7,.282,.277,.531,,.489,13.2,25.8,.216,,.515,12.6,77.3,.216,,Pepsi Center,577898,14095,2015-16
24,Minnesota Timberwolves,24.6,29,53,31,51,-3.54,0.15,-3.38,106.5,110.1,-3.6,95.2,.332,.202,.549,,.498,13.9,24.3,.263,,.524,13.6,74.7,.200,,Target Center,581178,14175,2015-16
25,New Orleans Pelicans,26.6,30,52,31,51,-3.79,0.24,-3.56,105.6,109.5,-3.9,96.8,.259,.277,.537,,.498,12.3,21.2,.201,,.523,12.7,78.8,.225,,Smoothie King Center,688549,16794,2015-16
26,Milwaukee Bucks,23.5,33,49,29,53,-4.18,0.20,-3.98,104.3,108.7,-4.4,94.2,.276,.189,.537,,.499,14.2,24.9,.207,,.510,14.2,73.1,.221,,BMO Harris Bradley Center,621808,15166,2015-16
27,Phoenix Suns,26.0,23,59,24,58,-6.66,0.34,-6.32,102.2,109.0,-6.8,98.5,.271,.302,.526,,.487,15.2,25.4,.204,,.523,13.5,77.1,.237,,Talking Stick Resort Arena,701405,17107,2015-16
28,Brooklyn Nets,26.9,21,61,22,60,-7.35,0.24,-7.12,103.2,110.9,-7.7,95.2,.246,.218,.527,,.492,13.6,24.1,.186,,.534,13.1,75.7,.176,,Barclays Center,620142,15125,2015-16
29,Los Angeles Lakers,26.5,17,65,17,65,-9.56,0.64,-8.92,101.6,111.6,-10.0,95.6,.292,.290,.509,,.460,12.5,23.1,.228,,.523,11.6,74.7,.202,,STAPLES Center,778877,18997,2015-16
30,Philadelphia 76ers,23.3,10,72,16,66,-10.23,0.31,-9.92,98.8,109.2,-10.4,97.9,.269,.327,.519,,.487,14.8,20.6,.186,,.510,13.5,74.0,.240,,Wells Fargo Center,614650,14991,2015-16
1,Golden State Warriors*,28.2,67,15,67,15,11.63,-0.28,11.35,115.6,104.0,+11.6,99.8,.259,.359,.597,,.563,13.2,22.8,.204,,.486,13.5,74.9,.198,,Oracle Arena,803436,19596,2016-17
2,San Antonio Spurs*,29.6,61,21,60,22,7.20,-0.06,7.13,111.1,103.5,+7.6,94.2,.263,.281,.564,,.524,12.6,24.0,.210,,.492,13.5,77.6,.192,,AT&T Center,755347,18423,2016-17
3,Houston Rockets*,27.4,55,27,55,27,5.77,0.08,5.84,114.7,109.0,+5.7,100.0,.304,.462,.583,,.545,13.3,24.6,.233,,.519,13.2,75.8,.194,,Toyota Center,695903,16973,2016-17
4,Toronto Raptors*,26.1,51,31,52,30,4.21,-0.56,3.65,112.3,107.8,+4.5,94.7,.293,.289,.561,,.517,11.8,25.0,.233,,.507,13.5,76.3,.223,,Air Canada Centre,813050,19830,2016-17
5,Los Angeles Clippers*,30.0,51,31,52,30,4.29,0.13,4.42,112.7,108.2,+4.5,96.1,.312,.329,.574,,.537,12.0,21.5,.233,,.506,12.1,76.9,.211,,STAPLES Center,782609,19088,2016-17
6,Utah Jazz*,26.8,51,31,52,30,3.94,0.06,4.00,109.6,105.3,+4.3,91.6,.288,.327,.563,,.526,13.2,23.2,.215,,.493,11.8,78.9,.195,,Vivint Smart Home Arena,806142,19662,2016-17
7,Cleveland Cavaliers*,29.2,51,31,49,33,3.18,-0.31,2.87,113.6,110.3,+3.3,96.2,.275,.399,.580,,.547,12.6,21.9,.206,,.516,11.4,75.8,.174,,Quicken Loans Arena,843042,20562,2016-17
8,Boston Celtics*,25.9,53,29,48,34,2.63,-0.39,2.25,111.2,108.4,+2.8,96.8,.273,.393,.567,,.525,12.2,21.2,.220,,.503,12.6,75.3,.223,,TD Garden,760690,18553,2016-17
9,Washington Wizards*,26.0,49,33,46,36,1.80,-0.45,1.36,111.2,109.3,+1.9,97.4,.254,.284,.564,,.528,12.8,24.1,.199,,.524,13.8,75.5,.213,,Verizon Center,697107,17003,2016-17
10,Miami Heat,26.5,41,41,44,38,1.06,-0.29,0.77,107.8,106.7,+1.1,95.2,.251,.314,.541,,.512,12.4,24.2,.177,,.496,12.6,76.4,.220,,AmericanAirlines Arena,805400,19644,2016-17
,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,,2016-17
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,2016-17
11,Oklahoma City Thunder*,24.7,47,35,43,39,0.76,0.39,1.14,108.3,107.5,+0.8,97.8,.295,.295,.540,,.500,13.2,27.9,.220,,.511,12.5,79.0,.218,,Chesapeake Energy Arena,746323,18203,2016-17
12,Memphis Grizzlies*,29.5,43,39,42,40,0.49,0.47,0.96,107.7,107.1,+0.6,92.3,.280,.316,.535,,.491,12.1,24.8,.219,,.506,13.6,77.5,.256,,FedEx Forum,677314,16520,2016-17
13,Denver Nuggets,25.2,40,42,42,40,0.51,0.19,0.70,113.2,112.7,+0.5,98.3,.276,.329,.568,,.530,13.2,27.3,.214,,.532,10.9,78.7,.194,,Pepsi Center,605585,14672,2016-17
14,Chicago Bulls*,26.9,41,41,42,40,0.43,-0.39,0.03,107.4,107.0,+0.4,95.3,.259,.256,.530,,.487,12.3,27.0,.206,,.507,12.4,76.8,.169,,United Center,888882,21680,2016-17
15,Charlotte Hornets,26.5,36,46,42,40,0.20,-0.26,-0.07,108.8,108.6,+0.2,95.7,.279,.335,.547,,.501,10.7,19.9,.227,,.523,12.1,79.6,.164,,Spectrum Center,710643,17333,2016-17
16,Indiana Pacers*,27.0,42,40,40,42,-0.22,-0.42,-0.64,108.6,108.8,-0.2,95.9,.261,.272,.558,,.516,12.8,21.2,.212,,.512,13.6,75.5,.225,,Bankers Life Fieldhouse,684578,16697,2016-17
17,Milwaukee Bucks*,25.6,42,40,40,42,-0.18,-0.26,-0.45,109.1,109.3,-0.2,94.5,.274,.290,.565,,.527,13.2,21.5,.210,,.518,13.6,75.4,.215,,BMO Harris Bradley Center,648952,15828,2016-17
18,Portland Trail Blazers*,24.8,41,41,40,42,-0.52,0.30,-0.23,110.3,110.8,-0.5,96.7,.275,.322,.559,,.520,12.5,23.0,.214,,.508,11.6,76.8,.241,,Moda Center,792029,19318,2016-17
19,Atlanta Hawks*,27.9,43,39,39,43,-0.85,-0.38,-1.23,104.9,105.7,-0.8,97.4,.295,.309,.541,,.504,14.2,23.6,.215,,.507,13.8,76.1,.179,,Philips Arena,654306,15959,2016-17
20,Detroit Pistons,25.4,37,45,38,44,-1.12,-0.17,-1.29,106.0,107.1,-1.1,95.0,.218,.263,.521,,.492,10.9,24.1,.157,,.516,12.1,81.2,.197,,The Palace of Auburn Hills,655141,15979,2016-17
,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,,2016-17
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,2016-17
21,Minnesota Timberwolves,24.0,31,51,38,44,-1.11,0.47,-0.64,110.8,112.0,-1.2,94.6,.287,.249,.555,,.511,12.9,27.2,.229,,.535,13.2,75.9,.212,,Target Center,607203,14810,2016-17
22,New Orleans Pelicans,25.7,34,48,35,47,-2.10,0.41,-1.69,105.2,107.4,-2.2,98.0,.256,.308,.539,,.504,11.7,18.5,.192,,.509,12.4,76.8,.177,,Smoothie King Center,663099,16173,2016-17
23,Dallas Mavericks,27.6,33,49,33,49,-2.93,0.40,-2.53,105.6,108.8,-3.2,92.2,.225,.366,.541,,.505,11.6,18.1,.180,,.529,14.4,77.6,.218,,American Airlines Center,811366,19789,2016-17
24,New York Knicks,27.3,31,51,31,51,-3.67,-0.20,-3.87,107.7,111.5,-3.8,96.0,.239,.279,.534,,.496,12.4,26.6,.188,,.511,11.7,74.1,.214,,Madison Square Garden (IV),810741,19774,2016-17
25,Sacramento Kings,27.9,32,50,31,51,-3.88,0.58,-3.29,107.3,111.3,-4.0,94.9,.284,.291,.556,,.516,13.7,21.0,.220,,.528,12.9,76.3,.227,,Golden 1 Center,721928,17608,2016-17
26,Phoenix Suns,25.0,24,58,27,55,-5.63,0.49,-5.14,106.6,112.2,-5.6,100.3,.297,.255,.538,,.493,13.4,26.0,.231,,.525,13.1,76.4,.264,,Talking Stick Resort Arena,708639,17134,2016-17
27,Philadelphia 76ers,24.6,28,54,26,56,-5.70,-0.14,-5.83,103.2,108.9,-5.7,98.5,.258,.349,.539,,.501,14.9,22.4,.199,,.512,13.5,75.3,.234,,Wells Fargo Center,710557,17331,2016-17
28,Brooklyn Nets,26.0,20,62,24,58,-6.73,-0.01,-6.74,104.1,110.7,-6.6,101.3,.289,.371,.551,,.507,14.7,19.6,.228,,.513,11.6,76.1,.212,,Barclays Center,632608,15429,2016-17
29,Orlando Magic,25.3,29,53,24,58,-6.57,-0.04,-6.61,103.7,110.5,-6.8,96.8,.246,.300,.524,,.489,12.1,21.6,.184,,.523,11.9,77.4,.201,,Amway Center,727875,17753,2016-17
30,Los Angeles Lakers,25.1,26,56,24,58,-6.88,0.58,-6.29,106.0,113.0,-7.0,98.5,.259,.295,.537,,.501,13.5,25.0,.195,,.542,13.0,75.8,.213,,STAPLES Center,776917,18949,2016-17
1,Houston Rockets*,29.8,65,17,61,21,8.48,-0.27,8.21,114.7,106.1,+8.6,97.6,.298,.502,.590,,.551,12.7,21.3,.233,,.521,13.4,79.9,.171,,Toyota Center,732722,17871,2017-18
2,Toronto Raptors*,25.8,59,23,60,22,7.78,-0.49,7.29,113.8,105.9,+7.9,97.4,.250,.377,.575,,.539,12.1,23.0,.198,,.501,13.0,77.7,.212,,Air Canada Centre,813431,19840,2017-18
3,Golden State Warriors*,28.8,58,24,56,26,5.98,-0.19,5.79,113.6,107.7,+5.9,99.6,.239,.339,.603,,.569,14.1,21.0,.195,,.504,12.6,76.3,.186,,Oracle Arena,803436,19596,2017-18
4,Utah Jazz*,26.7,48,34,53,29,4.30,0.17,4.47,108.4,103.9,+4.5,95.7,.260,.357,.564,,.527,13.7,21.5,.202,,.506,14.0,79.8,.190,,Vivint Smart Home Arena,734806,17922,2017-18
5,Philadelphia 76ers*,25.8,52,30,53,29,4.50,-0.20,4.30,109.5,105.0,+4.5,99.8,.263,.344,.568,,.535,14.6,25.3,.198,,.492,12.6,78.6,.218,,Wells Fargo Center,833503,20361,2017-18
6,Boston Celtics*,24.7,55,27,51,31,3.59,-0.35,3.23,107.6,103.9,+3.7,96.0,.243,.357,.552,,.518,13.0,21.5,.188,,.495,13.0,78.4,.191,,TD Garden,763584,18624,2017-18
7,Oklahoma City Thunder*,27.3,48,34,50,32,3.41,0.00,3.42,110.7,107.2,+3.5,96.7,.275,.345,.546,,.514,12.4,27.7,.197,,.525,14.7,77.4,.193,,Chesapeake Energy Arena,746322,18203,2017-18
8,San Antonio Spurs*,29.3,47,35,49,33,2.89,0.00,2.89,107.9,104.8,+3.1,95.0,.245,.282,.543,,.507,12.2,23.7,.189,,.507,13.2,78.6,.170,,AT&T Center,754562,18404,2017-18
9,Portland Trail Blazers*,25.6,49,33,48,34,2.60,0.00,2.60,109.1,106.4,+2.7,96.5,.240,.324,.549,,.511,12.3,23.3,.192,,.503,11.7,79.1,.193,,Moda Center,795750,19409,2017-18
10,Minnesota Timberwolves*,27.1,47,35,47,35,2.23,0.12,2.35,113.4,111.1,+2.3,96.0,.280,.261,.566,,.523,11.4,24.4,.225,,.539,13.9,76.4,.189,,Target Center,699308,17056,2017-18
,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,,2017-18
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,2017-18
11,Denver Nuggets,25.1,46,36,45,37,1.48,0.09,1.57,112.5,111.0,+1.5,96.8,.258,.357,.570,,.536,13.4,25.7,.198,,.539,12.6,77.5,.173,,Pepsi Center,702796,17141,2017-18
